2016-11-25 15:28:22,510 [13] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:35:15,840 [13] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 74 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:35:15,851 [13] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 26 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:35:15,851 [13] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:36:10,105 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 74 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:36:10,105 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 26 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:36:10,105 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:37:09,639 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 74 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:37:09,639 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 26 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:37:09,639 [10] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:38:51,506 [22] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 74 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:38:51,516 [22] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 26 ;Message: Object reference not set to an instance of an object.
2016-11-25 15:38:51,516 [22] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: Object reference not set to an instance of an object.
